Instance,Year of Record,Gender,Age,Country,Size of City,Profession,University Degree,Wears Glasses,Hair Color,Body Height [cm]
70309,2001.0,-1,47.0,151,-0.07132905657918735,839,1,0,2,192
9910,1984.0,1,42.0,142,0.07755079575901587,520,-1,0,0,158
71456,1993.0,0,30.0,50,-0.15677385964507382,625,0,0,1,148
9288,1982.0,1,54.0,119,0.40218677907098255,849,0,0,0,138
33062,2019.0,1,50.0,144,-0.1211418252487192,777,0,0,1,180
69935,2001.0,0,40.0,72,0.6321555886124023,753,-1,0,0,151
47554,1997.0,0,71.0,34,-0.34061226238510534,1029,0,0,1,144
42707,1989.0,-1,34.0,116,-0.3570931393090099,1073,-1,1,0,183
77968,2000.0,-1,27.0,64,-0.2763525199018603,1165,0,1,4,207
84522,2004.0,-1,19.0,151,-0.3520777244103782,1049,0,1,2,165
76111,2012.0,-1,27.0,78,-0.20267698878990706,654,1,1,2,202
27529,2000.0,1,38.0,125,-0.31336352669196615,1124,1,1,2,146
2002,2012.0,0,24.0,148,-0.35584867818138305,98,-1,0,0,168
44224,1980.0,1,65.0,141,0.12527260998824147,1107,0,0,1,162
18046,1990.0,0,75.0,69,-0.35133373795912465,1009,0,1,0,175
62457,2000.0,1,26.0,77,0.4806407069540172,588,0,0,2,152
3238,1993.0,0,34.0,113,-0.35606157704742136,950,0,0,1,171
65995,2013.0,-1,65.0,137,0.016503553376383363,837,0,1,1,175
34407,1999.0,0,38.0,148,-0.07402206489338835,734,1,0,1,181
57349,2001.0,0,40.0,132,-0.31146274335204266,651,0,0,1,164
20819,2013.0,1,29.0,21,0.05156553830354179,992,-1,1,3,156
28923,2008.0,0,28.0,64,0.6203079290585553,767,0,1,0,160
61579,2002.0,1,37.0,68,0.21627458367287444,656,0,0,0,198
103668,2008.0,1,18.0,128,-0.37501143145263693,902,1,0,2,195
19964,1983.0,-1,18.0,105,-0.25829368667673086,1119,0,0,2,162
109308,2016.0,1,42.0,63,-0.3588246239863975,1177,0,1,1,164
9594,2007.0,0,15.0,84,0.5157110408563144,848,0,1,2,169
23750,1985.0,1,50.0,80,-0.24406610537638615,924,-1,1,1,177
5365,2016.0,-1,49.0,64,0.08361957302098726,1151,0,1,1,172
63416,1993.0,-1,15.0,144,-0.3656012088073545,1157,1,1,0,168
47780,2013.0,0,59.0,128,0.5100944997476923,931,1,1,0,142
109546,1993.0,1,60.0,21,-0.059289834429101046,995,2,0,2,158
71905,1985.0,1,48.0,68,-0.253507868594415,767,0,1,0,197
65966,2002.0,-1,29.0,113,-0.37568398778325895,816,1,1,0,168
28366,2003.0,-1,58.0,65,-0.351486338671383,690,0,0,1,157
110320,2000.0,1,65.0,141,0.19057736585968746,917,-1,0,-1,177
108465,1989.0,0,22.0,142,-0.3433015600436891,1108,0,1,-1,166
111966,2019.0,1,26.0,8,0.3653274453292308,1031,-1,1,2,172
20450,1981.0,0,45.0,77,-0.00286050296210497,952,0,0,2,166
62757,2002.0,0,37.0,65,0.32627836094136414,1218,0,1,2,170
1713,1982.0,1,30.0,34,-0.13602109044183905,1244,0,0,0,143
99111,2006.0,0,22.0,86,-0.06564108534993368,885,0,0,3,174
88158,1995.0,0,48.0,51,0.13741990498317946,798,1,0,1,159
84621,2011.0,1,28.0,59,0.1405586558033996,1214,0,1,1,178
23968,2019.0,-1,32.0,125,-0.34052506197810056,1121,0,0,0,176
69654,2003.0,1,53.0,95,0.24583598547944904,1198,0,0,3,173
57670,1997.0,-1,42.0,69,0.5294585560861806,980,1,1,0,204
18309,2012.0,-1,15.0,105,0.07677712406282447,681,1,1,3,170
87006,2007.0,-1,49.0,18,-0.3841591252130007,793,-1,1,0,194
31872,2000.0,-1,41.0,1,-0.2632330331352094,996,0,0,0,186
15825,2008.0,1,30.0,33,-0.2712132618720038,619,-1,0,-1,165
110503,2019.0,1,36.0,68,0.2807861869061386,1273,0,0,0,175
65529,2001.0,1,25.0,28,-0.3420594180758231,942,-1,1,0,143
19935,1999.0,1,29.0,78,-0.3754390845125221,1140,1,0,1,192
47536,2002.0,0,32.0,129,-0.1358921451591405,475,2,0,0,155
40450,1983.0,-1,72.0,15,0.03491211589343628,756,0,0,0,175
9275,2018.0,0,54.0,156,0.006482000218163115,535,0,0,1,187
83612,1991.0,1,37.0,33,-0.35147103221696196,823,-1,1,0,186
78121,2019.0,1,43.0,127,-0.3514381001483591,435,0,0,2,183
83178,1984.0,0,15.0,28,-0.07761119653914918,1081,0,1,1,160
12949,1983.0,1,72.0,106,-0.36700754728628276,1048,-1,1,3,165
166,2001.0,1,40.0,78,-0.3414680323368278,1228,0,1,0,172
101959,2009.0,0,77.0,25,0.1654376740529885,896,-1,0,0,175
2436,1992.0,0,15.0,82,-0.33292517544207173,903,-1,0,0,162
102880,2013.0,-1,39.0,23,-0.34504139369621545,935,-1,1,2,152
26871,2013.0,1,22.0,148,1.196666904299875,835,-1,1,1,201
