Instance,Year of Record,Gender,Age,Country,Size of City,Profession,University Degree,Wears Glasses,Hair Color,Body Height [cm]
108195,2012.0,0,19.0,119,0.14152991991120822,728,1,1,0,146
79091,2004.0,-1,21.0,116,0.21147253147223322,744,-1,0,0,202
76926,1989.0,1,43.0,128,-0.16049564722915044,767,1,0,2,190
43900,2013.0,-1,37.0,95,-0.3683104512398809,1044,0,0,1,209
21307,2014.0,1,34.0,36,-0.008829092522411281,1028,-1,0,2,173
102357,1992.0,1,38.0,109,-0.37196312786308666,1088,-1,0,0,166
29523,1987.0,-1,45.0,158,-0.3788565983359863,1069,1,1,1,168
29136,2004.0,-1,20.0,43,0.6863010115469964,925,1,1,0,179
60891,1997.0,0,45.0,112,0.26894734015938243,1066,1,1,0,157
89923,1985.0,1,30.0,124,0.08322299670189634,1054,1,1,0,183
26129,1990.0,-1,19.0,12,-0.3515586964559189,842,2,1,3,151
67126,2014.0,-1,28.0,43,-0.3607416414446463,767,-1,1,2,190
57198,2005.0,0,41.0,45,0.258719381782454,796,0,1,0,130
7916,2012.0,-1,36.0,18,0.40089361558837966,1244,1,0,0,159
81673,2007.0,-1,31.0,108,-0.35389780099062706,1092,0,1,0,201
56617,2005.0,1,53.0,51,5.571687579871807,945,1,1,1,154
89077,1994.0,-1,28.0,144,-0.04135159751153139,927,0,0,0,156
35851,1993.0,-1,44.0,7,0.16199233031239516,977,0,1,0,172
53811,1992.0,1,18.0,64,0.2910544986629043,786,1,1,1,216
14284,1986.0,-1,40.0,80,-0.340868761454646,715,2,1,0,189
105731,2003.0,-1,68.0,51,0.4656960414556438,530,0,1,0,171
59639,1994.0,1,47.0,96,0.32807199910034024,1065,1,1,0,195
126,2015.0,-1,34.0,45,0.10748094396755221,930,-1,1,2,189
99615,1982.0,1,26.0,158,-0.36872743616486653,634,0,0,2,141
52727,1981.0,-1,15.0,57,-0.036529600536947586,1092,2,0,2,202
38300,1981.0,1,23.0,135,0.4916061581348691,1330,0,0,1,186
69129,1984.0,-1,76.0,51,0.3368096654150007,932,-1,1,2,195
94194,2001.0,1,40.0,127,-0.3474839327562538,1028,0,0,0,176
42942,2010.0,1,42.0,141,-0.3535313737484261,939,1,1,2,139
20099,1989.0,-1,65.0,64,-0.367520081593412,1173,-1,0,0,184
65889,1986.0,1,34.0,156,-0.025968610818373265,773,1,1,-1,210
70179,2018.0,1,44.0,30,-0.37250024526368,815,-1,1,2,176
53519,2006.0,-1,37.0,127,-0.3514121255590385,1016,-1,0,-1,197
99464,2001.0,0,56.0,55,-0.37734636149977574,925,1,1,0,172
6587,2001.0,0,31.0,78,-0.3626577312389908,992,0,1,1,135
54398,1998.0,0,42.0,36,-0.004402744203014084,997,0,1,1,175
127,2009.0,0,37.0,85,-0.34573992461615805,1021,0,0,1,147
31609,1988.0,1,50.0,17,0.4558702253812322,815,1,0,1,180
60096,2009.0,-1,41.0,33,-0.0017858043289661974,990,-1,1,0,183
13070,1984.0,0,22.0,96,-0.37901430119971835,748,0,1,0,153
52665,2003.0,-1,18.0,113,0.047480106468977136,1159,-1,0,2,161
68975,2011.0,1,63.0,83,-0.369813266764857,603,0,1,2,195
51201,2019.0,-1,16.0,26,-0.37544557815985224,648,0,1,3,183
107726,1995.0,-1,61.0,69,0.209066635136415,731,0,0,0,181
21873,1986.0,-1,39.0,76,-0.3449555847850671,784,0,0,2,170
74010,2015.0,1,15.0,112,0.1943144598981851,1065,1,1,0,149
53737,1998.0,0,39.0,63,-0.35207076693109596,655,1,1,1,168
53690,1997.0,1,39.0,119,-0.026090598621789533,591,1,1,0,206
76980,1990.0,-1,39.0,124,0.5703977556790712,1065,0,1,0,191
101562,1988.0,-1,31.0,156,-0.3724524705726082,996,-1,1,0,174
75738,1982.0,-1,70.0,43,-0.3474839327562538,871,0,0,2,152
68235,1986.0,1,60.0,12,-0.35851107358674195,1080,0,0,1,188
14805,2006.0,0,40.0,116,-0.3810291871998715,841,0,1,-1,152
59724,1988.0,-1,59.0,21,-0.31828246454454995,1231,1,1,-1,166
88058,1997.0,0,43.0,128,-0.37734450617196713,843,1,0,1,128
75207,1998.0,-1,36.0,63,0.09311235775375296,925,1,1,0,161
42631,2009.0,0,33.0,138,0.3831390561238626,455,-1,1,2,169
92894,2013.0,1,23.0,45,-0.37180496116740247,37,1,0,1,167
14785,1983.0,-1,17.0,156,-0.35962241494410085,965,0,1,0,187
33691,1996.0,0,33.0,112,-0.2330333985624721,967,-1,1,1,161
104147,2009.0,0,27.0,83,-0.02541896995507182,1147,0,0,2,166
66117,1980.0,-1,22.0,64,0.13326907284336123,738,1,1,2,190
108516,2014.0,-1,26.0,72,0.10261349146165741,734,0,0,0,163
95335,2010.0,-1,40.0,77,-0.213473141308223,1178,0,0,1,193
79907,1987.0,-1,54.0,73,0.06947733679983871,907,2,0,1,155
26171,1992.0,1,51.0,7,-0.23222169264620415,1090,1,1,0,189
16547,1985.0,-1,30.0,144,0.1919897341539937,899,1,1,0,166
25795,2014.0,1,53.0,87,-0.26864131369731475,1112,0,0,0,175
48670,1999.0,1,34.0,144,-0.04594538916565587,934,-1,0,1,203
13548,1999.0,-1,22.0,23,0.10676293210561918,1007,1,1,0,176
64012,1990.0,-1,22.0,110,-0.37362271858789053,739,0,0,2,206
64690,1985.0,1,38.0,78,0.7008453900706617,851,0,1,1,140
31627,2009.0,1,23.0,45,0.1340478466910263,758,-1,1,1,212
88905,2007.0,1,16.0,141,-0.042038996464622315,1054,0,0,2,195
59107,1997.0,1,70.0,28,-0.25186312049208004,697,-1,0,-1,149
27083,2004.0,1,26.0,17,-0.01115474593050701,1049,-1,0,0,198
69425,2013.0,-1,46.0,65,-0.19949834842180175,1150,0,0,0,193
104797,1984.0,1,55.0,92,-0.3691151996768665,883,0,0,2,191
107542,1986.0,-1,22.0,8,0.18700446833225198,746,0,1,0,151
13761,2003.0,-1,33.0,127,0.5204393437765633,811,0,0,2,196
100692,2006.0,1,17.0,148,-0.3781562120882351,981,-1,0,1,202
110771,2015.0,0,50.0,45,-0.205012382668998,863,0,0,1,170
106306,1989.0,1,32.0,87,0.6643552665628238,1169,0,1,0,172
51511,1998.0,-1,27.0,69,0.3730200982556902,736,-1,1,0,180
27124,2008.0,0,35.0,125,0.2797866290492486,1101,1,1,1,161
45544,1996.0,1,48.0,148,0.2795774408388276,924,0,0,0,192
60661,1990.0,0,19.0,156,0.6826005602327189,100,0,0,2,153
14746,1985.0,-1,53.0,151,-0.07082255208743615,824,0,0,0,194
38159,2017.0,0,19.0,65,0.6443552966179336,943,2,0,1,154
8026,1984.0,-1,46.0,83,0.11660730145811694,852,0,0,0,196
7923,1983.0,1,66.0,51,-0.3552795563760912,609,2,0,2,189
71884,2002.0,0,32.0,80,-0.36283769803642624,727,2,1,2,197
54895,1982.0,0,22.0,17,0.29111015849716265,931,0,1,0,153
18202,2007.0,1,15.0,144,-0.361437389372876,635,-1,1,0,193
28042,1983.0,0,45.0,142,-0.36125371191982336,823,-1,1,1,177
109163,2001.0,1,20.0,19,0.17953074408720882,910,0,0,3,176
111211,2006.0,-1,71.0,116,-0.38434280266605336,883,0,0,0,207
39825,1985.0,-1,27.0,64,0.28222128296610033,990,-1,0,2,197
54356,1980.0,1,43.0,135,-0.2655336396178889,15,2,1,2,196
67728,1987.0,0,36.0,124,-0.17039799557566732,754,0,0,2,175
76506,1981.0,1,19.0,8,-0.26098901415069264,881,0,1,0,180
78438,1999.0,1,18.0,77,0.6755776806451685,1311,0,0,1,194
96648,2002.0,-1,39.0,148,0.07434061481816415,663,0,0,2,205
11018,1984.0,-1,17.0,38,-0.3556339239875362,961,0,0,2,175
58816,1985.0,-1,55.0,69,-0.34623947162862695,-1,0,0,3,201
14866,2018.0,0,17.0,8,-0.1907787715532753,1087,0,1,-1,164
48500,1995.0,0,28.0,151,-0.34145690036997617,965,1,0,0,186
81339,1993.0,-1,32.0,113,-0.38527185806621606,986,1,1,1,191
73775,1985.0,0,59.0,148,0.1555177000922898,521,-1,1,2,150
27331,2010.0,1,26.0,80,0.20974568511436717,582,-1,0,0,197
28953,2006.0,0,48.0,142,-0.06605667877906286,916,2,1,0,172
81705,1985.0,1,46.0,137,7.884816133763546,1067,0,0,1,145
107053,1981.0,0,41.0,43,-0.22795675784615624,686,0,0,1,167
